sitios,fecha,campaña,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,cr_total_mg_l,cd_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica,calidad_de_agua
Puerto Trinidad calle 47,2023-02-22,Verano,25.25,26.0,6.27,7.24,Ausencia,Ausencia,Ausencia,Ausencia,4000.0,130.0,200.0,2.0,0.05,0.55,0.16,6.5,59.0,140.0,0.1,0.006,0.001,133.41,5.0,37.5,
Puerto Trinidad calle 47,2023-05-10,otoño,18.0,14.0,6.08,7.32,Ausencia,Ausencia,Ausencia,Ausencia,2.0,2000.0,7600.0,16.7,2.1,0.43,0.42,7.9,30.0,23.0,0.1,0.0076,1.0,126.75,0.15,31.0,Extremadamente deteriorada
Puerto Trinidad calle 47,2023-11-14,primavera,22.0,19.0,4.975,7.05,Ausencia,Ausencia,Ausencia,Ausencia,4100.0,4100.0,1200.0,5.3,1.3,0.74,0.2,11.0,115.0,95.0,0.1,0.0,0.001,48.1,0.15,29.0,Extremadamente deteriorada
Costanera Hudson Calle 63,2023-02-22,Verano,25.25,28.0,6.27,7.24,Ausencia,Ausencia,Ausencia,Ausencia,7000.0,100.0,120.0,2.0,0.06,0.52,0.14,7.6,96.0,120.0,0.1,0.005,0.001,101.82,5.0,37.5,
Costanera Hudson Calle 63,2023-05-10,otoño,18.0,13.0,6.08,7.32,Ausencia,Ausencia,Ausencia,Ausencia,1.0,900.0,500.0,4.2,0.3,0.39,0.13,5.2,36.0,22.0,0.1,0.005,1.0,120.95,0.15,34.0,Extremadamente deteriorada
Costanera Hudson Calle 63,2023-11-14,primavera,22.0,21.0,4.975,7.05,Ausencia,Ausencia,Ausencia,Ausencia,18000.0,14000.0,1430.0,3.4,0.61,0.76,0.2,12.0,130.0,55.0,0.1,0.0,0.001,42.7,0.15,29.0,Extremadamente deteriorada
Puerto Trinidad calle 47,2023-08-23,invierno,14.4,13.0,6.35,7.395,,,,,3300.0,2200.0,1000.0,11.2,1.9,0.77,0.36,2.95,30.0,26.0,0.1,0.005,0.001,3.85,0.15,37.0,
Boca Cerrada (Res.Nat. Punta Lara),2023-02-22,Verano,25.25,24.0,6.27,7.24,Ausencia,Presencia,Ausencia,Presencia,200.0,100.0,20.0,2.0,0.07,0.36,0.12,4.1,38.0,80.0,0.1,0.005,0.001,101.82,5.0,37.5,
Boca Cerrada (Res.Nat. Punta Lara),2023-05-10,otoño,18.0,11.0,6.08,7.32,Ausencia,Ausencia,Ausencia,Ausencia,29.0,400.0,300.0,7.0,0.09,0.27,0.15,3.0,30.0,20.0,0.1,0.005,1.0,94.81,0.15,37.0,Extremadamente deteriorada
Boca Cerrada (Res.Nat. Punta Lara),2023-11-14,primavera,22.0,21.0,4.975,7.05,Ausencia,Ausencia,Ausencia,Ausencia,10000.0,400.0,410.0,3.3,0.24,0.5,0.2,4.1,61.0,32.0,0.1,0.0,0.001,19.4,0.15,37.0,Extremadamente deteriorada
Costanera Hudson Calle 63,2023-08-23,invierno,14.4,13.0,6.35,7.395,,,,,3300.0,2200.0,1000.0,11.2,1.9,0.77,0.36,2.95,30.0,26.0,0.1,0.005,0.001,3.85,0.15,37.0,
Boca Cerrada (Res.Nat. Punta Lara),2023-08-23,invierno,14.4,12.0,6.35,7.395,Ausencia,Ausencia,Ausencia,Ausencia,1400.0,1000.0,1160.0,7.3,0.87,0.44,0.43,3.6,76.0,75.0,0.1,0.005,0.001,28.85,0.2,34.0,Extremadamente deteriorada
Camping Eva Perón,2023-02-22,Verano,25.4,25.0,11.49,9.59,Ausencia,Ausencia,Ausencia,Ausencia,300.0,40.0,60.0,2.4,0.06,0.26,0.1,3.5,30.0,60.0,0.1,0.005,0.001,82.3,5.0,37.5,
Camping Eva Perón,2023-05-10,otoño,17.0,15.0,12.62,9.38,Ausencia,Ausencia,Ausencia,Ausencia,700.0,130.0,15.0,6.1,0.09,0.23,0.18,3.2,30.0,27.0,0.1,0.005,1.0,152.11,0.15,36.0,Extremadamente deteriorada
Camping Eva Perón,2023-11-14,primavera,22.0,22.0,4.975,7.05,Ausencia,Ausencia,Ausencia,Ausencia,600.0,360.0,340.0,4.5,0.3,0.72,0.2,2.6,59.0,40.0,0.1,0.005,0.001,10.0,0.15,39.0,Extremadamente deteriorada
Camping Eva Perón,2023-08-23,invierno,12.3,13.0,8.44,10.5,Ausencia,Ausencia,Ausencia,Ausencia,400.0,60.0,750.0,11.2,0.69,0.39,0.34,4.0,40.0,50.0,0.1,0.005,0.001,67.76,0.15,36.0,Extremadamente deteriorada
Toma de agua Club de Pesca,2023-02-22,Verano,24.2,25.0,7.13,8.69,Ausencia,Ausencia,Ausencia,Ausencia,700.0,60.0,40.0,2.5,0.05,0.81,0.2,11.0,230.0,432.0,0.1,0.005,0.001,740.93,5.0,37.5,
